Country,Air Microplastic Intake (particles/capita/day)
Argentina,132000
Australia,33000
Austria,110000
Bangladesh,73000
Barbados,15000
Bolivia,15000
Bosnia and Herzegovina,24000
Brazil,368000
Cambodia,73000
Canada,10000
China,2851000
Colombia,132000
Croatia,24000
Cuba,15000
Dominica,15000
Dominican Republic,15000
France,30000
Germany,79000
Hungary,2000
India,73000
Indonesia,115000
Iran,112000
Iraq,112000
Ireland,792000
Japan,20000
Laos,494000
Malaysia,494000
Mexico,15000
Mongolia,2851000
Pakistan,73000
Paraguay,15000
Peru,132000
Philippines,494000
Portugal,8000
Romania,79000
Russia,151000
Saint Lucia,15000
Saudi Arabia,112000
Serbia,42000
Slovakia,24000
South Korea,1000
Spain,8000
Sri Lanka,73000
Sweden,301000
Switzerland,117000
Thailand,494000
Turkey,112000
Ukraine,151000
United Kingdom,792000
United States,10000
Uruguay,132000
Venezuela,132000
Vietnam,494000
